kod;cena;supplierId;typeid;nazov;balenie;
1211108-B20-01-888;6.49;8;9;RAVENOL ATF M 9-Serie - 20 L Bag in Box;bag;
1211127-001-01-999;9.09;8;9;RAVENOL ATF M 9-FE Serie - 1 L (VE 12 Stück);1 L;
1211127-004-01-999;8.69;8;9;RAVENOL ATF M 9-FE Serie - 4 L (VE 4 Stück);4 L;
1211127-B20-01-888;8.19;8;9;RAVENOL ATF M 9-FE Serie - 20 L Bag in Box;bag;
1211139-001-01-999;10.79;8;9;RAVENOL ATF M 9-G Serie - 1 L (VE 12 Stück);1 L;
1213102-001-01-999;5.29;8;9;RAVENOL ATF Dexron D II - 1 L (VE 12 Stück);1 L;
1213102-004-01-999;4.99;8;9;RAVENOL ATF Dexron D II - 4 L (VE 4 Stück);4 L;
1212100-001-01-999;6.09;8;9;RAVENOL ATF DEXRON III H - 1 L (VE 12 Stück);1 L;
1212100-B20-01-888;5.69;8;9;RAVENOL ATF DEXRON III H - 20 L Bag in Box;bag;
1211103-001-01-999;11.99;8;9;RAVENOL ATF Dexron II E - 1 L (VE 12 Stück);1 L;
1211105-001-01-999;6.99;8;9;RAVENOL ATF DEXRON VI - 1 L (VE 12 Stück);1 L;
1211105-B20-01-888;6.19;8;9;RAVENOL ATF DEXRON VI - 20 L Bag in Box;bag;
1212101-001-01-999;6.09;8;9;RAVENOL ATF MERCON® V - 1 L (VE 12 Stück);1 L;
1212101-B20-01-888;5.59;8;9;RAVENOL ATF MERCON® V - 20 L Bag in Box;bag;
1211137-001-01-999;6.59;8;9;RAVENOL ATF MERCON® LV Fluid - 1 L (VE 12 Stück);1 L;
1211137-B20-01-888;5.59;8;9;RAVENOL ATF MERCON® LV Fluid - 20 L Bag in Box;bag;
1211100-001-01-999;7.99;8;9;RAVENOL ATF+4 Fluid - 1 L (VE 12 Stück);1 L;
1211100-004-01-999;7.69;8;9;RAVENOL ATF+4 Fluid - 4 L (VE 4 Stück);4 L;
1211100-010-01-999;7.39;8;9;RAVENOL ATF+4 Fluid - 10 L;plast;
1213105-001-01-999;3.5;8;9;RAVENOL ATF Fluid Type F - 1 L (VE 12 Stück);1 L;
1213105-004-01-999;3.3;8;9;RAVENOL ATF Fluid Type F - 4 L (VE 4 Stück);4 L;
1181100-001-01-999;7.19;8;9;RAVENOL SSF Spec. Servolenkung Fluid - 1 L (VE 12 Stück);1 L;
1181100-004-01-999;7.19;8;9;RAVENOL SSF Spec. Servolenkung Fluid - 4 L (VE 4 Stück);4 L;
1181100-010-01-999;7.19;8;9;RAVENOL SSF Spec. Servolenkung Fluid - 10 L;plast;
1181100-B20-01-888;6.59;8;9;RAVENOL SSF Spec. Servolenkung Fluid - 20 L Bag in Box;bag;
1181110-001-01-999;6.69;8;9;RAVENOL LHM PLUS Fluid - 1 L (VE 12 Stück);1 L;
1181110-010-01-999;6.69;8;9;RAVENOL LHM PLUS Fluid - 10 L;plast;
1181110-B20-01-888;6.69;8;9;RAVENOL LHM PLUS Fluid - 20 L Bag in Box;bag;
1181000-001-01-999;6.19;8;9;RAVENOL Hydraulik PSF Fluid - 1 L (VE 12 Stück);1 L;
1181000-010-01-999;6.19;8;9;RAVENOL Hydraulik PSF Fluid - 10 L;plast;
1181000-B20-01-888;6.19;8;9;RAVENOL Hydraulik PSF Fluid - 20 L Bag in Box;bag;
1181002-001-01-999;8.29;8;9;RAVENOL Elektro-Hydraulik E-PSF Fluid - 1 L (VE 12 Stück);1 L;
1211123-001-01-999;7.09;8;9;RAVENOL PSF-Y Fluid - 1 L (VE 12 Stück);1 L;
1211123-B20-01-888;7.09;8;9;RAVENOL PSF-Y Fluid - 20 L Bag in Box;bag;
