kod;cena;supplierId;typeid;nazov;balenie;
1111136-060-01-999;4.78;8;9;RAVENOL VollSynth Turbo VST SAE 5W-40 - 60 L;sud;
1111136-B20-01-888;4.78;8;9;RAVENOL VollSynth Turbo VST SAE 5W-40 - 20 L Bag in Box;bag;
1111132-001-01-999;5.9;8;9;RAVENOL VDL SAE 5W-40 - 1 L (VE 20 Stück);1 L;
1111132-004-01-999;5.9;8;9;RAVENOL VDL SAE 5W-40 - 4 L (VE 4 Stück);4 L;
1111132-060-01-999;5.9;8;9;RAVENOL VDL SAE 5W-40 - 60 L;sud;
1111132-B20-01-888;5;8;9;RAVENOL VDL SAE 5W-40 - 20 L Bag in Box;bag;
1131100-001-01-999;5.9;8;9;RAVENOL VEG SAE 5W-40 - 1 L (VE 20 Stück);1 L;
1131100-004-01-999;5.6;8;9;RAVENOL VEG SAE 5W-40 - 4 L (VE 4 Stück);4 L;
1131100-060-01-999;5.5;8;9;RAVENOL VEG SAE 5W-40 - 60 L;sud;
1131100-B20-01-888;5.5;8;9;RAVENOL VEG SAE 5W-40 - 20 L Bag in Box;bag;
1112105-001-01-999;5.5;8;9;RAVENOL HCS SAE 5W-40 - 1 L (VE 20 Stück);1 L;
1112105-004-01-999;5.3;8;9;RAVENOL HCS SAE 5W-40 - 4 L (VE 4 Stück);4 L;
1112105-060-01-999;4.99;8;9;RAVENOL HCS SAE 5W-40 - 60 L;sud;
1112105-B20-01-888;4.99;8;9;RAVENOL HCS SAE 5W-40 - 20 L Bag in Box;bag;
1111147-001-01-999;5.99;8;9;RAVENOL HST SAE 5W-40 - 1 L (VE 20 Stück);1 L;
1111147-004-01-999;5.3;8;9;RAVENOL HST SAE 5W-40 - 4 L (VE 4 Stück);4 L;
1111147-060-01-999;4.99;8;9;RAVENOL HST SAE 5W-40 - 60 L;sud;
1111147-B20-01-888;4.99;8;9;RAVENOL HST SAE 5W-40 - 20 L Bag in Box;bag;
1115100-001-01-999;6.99;8;9;RAVENOL SVS Standard Viscosity Synto Oil SAE 5W-40 - 1 L (VE 20 Stück);1 L;
1115100-005-01-999;6.5;8;9;RAVENOL SVS Standard Viscosity Synto Oil SAE 5W-40 - 5 L (VE 4 Stück);5 L;
1115100-060-01-999;6.5;8;9;RAVENOL SVS Standard Viscosity Synto Oil SAE 5W-40 - 60 L;sud;
1142100-001-01-999;9.49;8;9;RAVENOL RRS SAE 5W-50 - 1 L (VE 20 Stück);1 L;
1142100-004-01-999;9.49;8;9;RAVENOL RRS SAE 5W-50 - 4 L (VE 4 Stück);4 L;
1142100-060-01-999;9.49;8;9;RAVENOL RRS SAE 5W-50 - 60 L;sud;
1142100-B20-01-888;9.49;8;9;RAVENOL RRS SAE 5W-50 - 20 L Bag in Box;bag;
1116102-001-01-999;6.5;8;9;RAVENOL HVT High Viscosity Turbo Oil SAE 5W-50 - 1 L (VE 20 Stück);1 L;
1116102-005-01-999;6.5;8;9;RAVENOL HVT High Viscosity Turbo Oil SAE 5W-50 - 5 L (VE 4 Stück);5 L;
1116102-060-01-999;5.99;8;9;RAVENOL HVT High Viscosity Turbo Oil SAE 5W-50 - 60 L;sud;
1116102-B20-01-888;5.99;8;9;RAVENOL HVT High Viscosity Turbo Oil SAE 5W-50 - 20 L Bag in Box;bag;
1112106-001-01-999;4.49;8;9;RAVENOL TSJ SAE 10W-30 - 1 L (VE 20 Stück);1 L;
1112106-004-01-999;4.49;8;9;RAVENOL TSJ SAE 10W-30 - 4 L (VE 4 Stück);4 L;
1112106-010-01-999;3.69;8;9;RAVENOL TSJ SAE 10W-30 - 10 L;plast;
1112106-060-01-999;3.69;8;9;RAVENOL TSJ SAE 10W-30 - 60 L;sud;
1112106-B20-01-888;3.69;8;9;RAVENOL TSJ SAE 10W-30 - 20 L Bag in Box;bag;
1112110-001-01-999;4.49;8;9;RAVENOL TSi SAE 10W-40 - 1 L (VE 20 Stück);1 L;
1112110-004-01-999;4.29;8;9;RAVENOL TSi SAE 10W-40 - 4 L (VE 4 Stück);4 L;
1112110-005-01-999;4.29;8;9;RAVENOL TSi SAE 10W-40 - 5 L (VE 4 Stück);5 L;
1112110-020-01-999;3.99;8;9;RAVENOL TSi SAE 10W-40 - 20 L;plast;
1112110-060-01-999;3.99;8;9;RAVENOL TSi SAE 10W-40 - 60 L;sud;
1112110-208-01-999;3.99;8;9;RAVENOL TSi SAE 10W-40 - 208 L;sud;
1112110-B20-01-888;3.99;8;9;RAVENOL TSi SAE 10W-40 - 20 L Bag in Box;bag;
1112111-001-01-999;4.99;8;9;RAVENOL DLO SAE 10W-40 - 1 L (VE 20 Stück);1 L;
1112111-004-01-999;4.5;8;9;RAVENOL DLO SAE 10W-40 - 4 L (VE 4 Stück);4 L;
1112111-060-01-999;4.5;8;9;RAVENOL DLO SAE 10W-40 - 60 L;sud;
1112111-B20-01-888;4.5;8;9;RAVENOL DLO SAE 10W-40 - 20 L Bag in Box;bag;
1132100-001-01-999;4.99;8;9;RAVENOL TEG 10W-40 - 1 L (VE 20 Stück);1 L;
1132100-004-01-999;4.29;8;9;RAVENOL TEG 10W-40 - 4 L (VE 4 Stück);4 L;
1132100-060-01-999;3.99;8;9;RAVENOL TEG 10W-40 - 60 L;sud;
1132100-B20-01-888;3.99;8;9;RAVENOL TEG 10W-40 - 20 L Bag in Box;bag;
1112112-001-01-999;4.99;8;9;RAVENOL LLO SAE 10W-40 - 1 L (VE 20 Stück);1 L;
1112112-004-01-999;4.49;8;9;RAVENOL LLO SAE 10W-40 - 4 L (VE 4 Stück);4 L;
1112112-060-01-999;3.59;8;9;RAVENOL LLO SAE 10W-40 - 60 L;sud;
1112112-B20-01-888;3.59;8;9;RAVENOL LLO SAE 10W-40 - 20 L Bag in Box;bag;
1116103-001-01-999;4.5;8;9;RAVENOL SVT Stand. Viscosity Turbo Oil SAE 10W-40 - 1 L (VE 20 Stück);1 L;
1116103-005-01-999;4.3;8;9;RAVENOL SVT Stand. Viscosity Turbo Oil SAE 10W-40 - 5 L (VE 4 Stück);5 L;
1116103-060-01-999;4.1;8;9;RAVENOL SVT Stand. Viscosity Turbo Oil SAE 10W-40 - 60 L;sud;
1116103-B20-01-888;4.1;8;9;RAVENOL SVT Stand. Viscosity Turbo Oil SAE 10W-40 - 20 L Bag in Box;bag;
1141105-001-01-999;8.99;8;9;RAVENOL RSE SAE 10W-50 - 1 L (VE 20 Stück);1 L;
1141105-004-01-999;8.99;8;9;RAVENOL RSE SAE 10W-50 - 4 L (VE 4Stück);4 L;
1141105-060-01-999;8.99;8;9;RAVENOL RSE SAE 10W-50 - 60 L;sud;
1141105-B20-01-888;8.99;8;9;RAVENOL RSE SAE 10W-50 - 20 L Bag in Box;bag;
1115101-001-01-999;6.99;8;9;RAVENOL HVE High Viscosity Ester Oil SAE 10W-50 - 1 L (VE 20 Stück);1 L;
1115101-005-01-999;6.69;8;9;RAVENOL HVE High Viscosity Ester Oil SAE 10W-50 - 5 L (VE 4 Stück);5 L;
1115101-060-01-999;5.99;8;9;RAVENOL HVE High Viscosity Ester Oil SAE 10W-50 - 60 L;sud;
1115101-B20-01-888;5.99;8;9;RAVENOL HVE High Viscosity Ester Oil SAE 10W-50 - 20 L Bag in Box;bag;
1115102-001-01-999;6.99;8;9;RAVENOL HVS High Viscosity Synto Oil SAE 10W-60 - 1 L (VE 20 Stück);1 L;
1115102-005-01-999;6.5;8;9;RAVENOL HVS High Viscosity Synto Oil SAE 10W-60 - 5 L (VE 4 Stück);5 L;
1115102-060-01-999;6.5;8;9;RAVENOL HVS High Viscosity Synto Oil SAE 10W-60 - 60 L;sud;
1115102-B20-01-888;6.5;8;9;RAVENOL HVS High Viscosity Synto Oil SAE 10W-60 - 20 L Bag in Box;bag;
1141100-001-01-999;9.99;8;9;RAVENOL RSS SAE 10W-60 - 1 L (VE 20 Stück);1 L;
1141100-005-01-999;9.49;8;9;RAVENOL RSS SAE 10W-60 - 5 L (VE 4 Stück);5 L;
1141100-060-01-999;9.49;8;9;RAVENOL RSS SAE 10W-60 - 60 L;sud;
1141100-B20-01-888;9.49;8;9;RAVENOL RSS SAE 10W-60 - 20 L Bag in Box;bag;
1142105-001-01-999;8.99;8;9;RAVENOL RFS SAE 15W-50 - 1 L (VE 20 Stück);1 L;
1142105-004-01-999;8.99;8;9;RAVENOL RFS SAE 15W-50 - 4 L (VE 4 Stück);4 L;
1142105-060-01-999;8.99;8;9;RAVENOL RFS SAE 15W-50 - 60 L;sud;
1142105-B20-01-888;8.99;8;9;RAVENOL RFS SAE 15W-50 - 20 L Bag in Box;bag;
1113103-001-01-999;4.59;8;9;RAVENOL Turbo-C HD-C SAE 15W-40 - 1 L (VE 20 Stück);1 L;
1113103-004-01-999;4.19;8;9;RAVENOL Turbo-C HD-C SAE 15W-40 - 4 L (VE 4 Stück);4 L;
1113103-060-01-999;4.19;8;9;RAVENOL Turbo-C HD-C SAE 15W-40 - 60 L;sud;
1113103-B20-01-888;4.19;8;9;RAVENOL Turbo-C HD-C SAE 15W-40 - 20 L Bag in Box;bag;
1113115-001-01-999;4.99;8;9;RAVENOL Formel Super SAE 15W-40 - 1 L (VE 20 Stück);1 L;
1113115-004-01-999;4.69;8;9;RAVENOL Formel Super SAE 15W-40 - 4 L (VE 4 Stück);4 L;
1113115-060-01-999;4.5;8;9;RAVENOL Formel Super SAE 15W-40 - 60 L;sud;
1113115-B20-01-888;4.5;8;9;RAVENOL Formel Super SAE 15W-40 - 20 L Bag in Box;bag;
1116104-001-01-999;5.69;8;9;RAVENOL HVP High Viscosity Perform. Oil SAE 15W-50 - 1 L (VE 20 Stück);1 L;
1116104-005-01-999;5.39;8;9;RAVENOL HVP High Viscosity Perform. Oil SAE 15W-50 - 5 L (VE 4 Stück);5 L;
1116104-060-01-999;4.99;8;9;RAVENOL HVP High Viscosity Perform. Oil SAE 15W-50 - 60 L;sud;
1116104-B20-01-888;4.99;8;9;RAVENOL HVP High Viscosity Perform. Oil SAE 15W-50 - 20 L Bag in Box;bag;
1117100-001-01-999;4.99;8;9;RAVENOL SVP Stand. Viscos. Perform. Oil SAE 15W-40 - 1 L (VE 20 Stück);1 L;
1117100-005-01-999;4.69;8;9;RAVENOL SVP Stand. Viscos. Perform. Oil SAE 15W-40 - 5 L (VE 4 Stück);5 L;
1117100-060-01-999;4.5;8;9;RAVENOL SVP Stand. Viscos. Perform. Oil SAE 15W-40 - 60 L;sud;
1117100-B20-01-888;4.5;8;9;RAVENOL SVP Stand. Viscos. Perform. Oil SAE 15W-40 - 20 L Bag in Box;bag;
1133100-001-01-999;4.99;8;9;RAVENOL MGS SAE 15W-40 - 1 L (VE 20 Stück);1 L;
1133100-004-01-999;4.69;8;9;RAVENOL MGS SAE 15W-40 - 4 L (VE 4 Stück);4 L;
1133100-060-01-999;4.5;8;9;RAVENOL MGS SAE 15W-40 - 60 L;sud;
1133100-B20-01-888;4.5;8;9;RAVENOL MGS SAE 15W-40 - 20 L Bag in Box;bag;
1114110-001-01-999;6.99;8;9;RAVENOL Break-In Oil SAE 20W-50 - 1 L (VE 20 Stück);1 L;
1114110-004-01-999;6.3;8;9;RAVENOL Break-In Oil SAE 20W-50 - 4 L (VE 4 Stück);4 L;
1114110-020-01-999;5.99;8;9;RAVENOL Break-In Oil SAE 20W-50 - 20 L;plast;
1114110-060-01-999;5.99;8;9;RAVENOL Break-In Oil SAE 20W-50 - 60 L;sud;
1113120-001-01-999;4.69;8;9;RAVENOL Formel Extra SAE 20W-50 - 1 L (VE 20 Stück);1 L;
1113120-004-01-999;4.69;8;9;RAVENOL Formel Extra SAE 20W-50 - 4 L (VE 4 Stück);4 L;
1113120-060-01-999;4.69;8;9;RAVENOL Formel Extra SAE 20W-50 - 60 L;sud;
1113120-B20-01-888;4.69;8;9;RAVENOL Formel Extra SAE 20W-50 - 20 L Bag in Box;bag;
1113125-001-01-999;5.5;8;9;RAVENOL TURBO EXTRA SAE 20W-50 - 1 L (VE 20 Stück);1 L;
1113125-004-01-999;5.3;8;9;RAVENOL TURBO EXTRA SAE 20W-50 - 4 L (VE 4 Stück);4 L;
1113125-060-01-999;4.99;8;9;RAVENOL TURBO EXTRA SAE 20W-50 - 60 L;sud;
1113125-B20-01-888;4.99;8;9;RAVENOL TURBO EXTRA SAE 20W-50 - 20 L Bag in Box;bag;
1141101-001-01-999;9.99;8;9;RAVENOL RHV Racing High Viscosity SAE 20W-60 - 1 L (VE 20 Stück);1 L;
1141101-004-01-999;8.99;8;9;RAVENOL RHV Racing High Viscosity SAE 20W-60 - 4 L (VE 4 Stück);4 L;
1141101-060-01-999;8.59;8;9;RAVENOL RHV Racing High Viscosity SAE 20W-60 - 60 L;sud;
1141101-B20-01-888;8.59;8;9;RAVENOL RHV Racing High Viscosity SAE 20W-60 - 20 L Bag in Box;bag;
1113300-001-01-999;4.99;8;9;RAVENOL Super HD 30 - 1 L (VE 20 Stück);1 L;
1113300-004-01-999;4.69;8;9;RAVENOL Super HD 30 - 4 L (VE 4 Stück);4 L;
1113300-060-01-999;4.5;8;9;RAVENOL Super HD 30 - 60 L;sud;
1113300-B20-01-888;4.5;8;9;RAVENOL Super HD 30 - 20 L Bag in Box;bag;
1114105-001-01-999;6.99;8;9;RAVENOL Break-In Oil SAE 30 - 1 L (VE 20 Stück);1 L;
1114105-004-01-999;6.69;8;9;RAVENOL Break-In Oil SAE 30 - 4 L (VE 4 Stück);4 L;
1114105-060-01-999;6.5;8;9;RAVENOL Break-In Oil SAE 30 - 60 L;sud;
1114105-B20-01-888;6.5;8;9;RAVENOL Break-In Oil SAE 30 - 20 L Bag in Box;bag;
1113305-001-01-999;4.99;8;9;RAVENOL Super HD 50 - 1 L (VE 20 Stück);1 L;
1113305-004-01-999;4.69;8;9;RAVENOL Super HD 50 - 4 L (VE 4 Stück);4 L;
1113305-020-01-999;4.5;8;9;RAVENOL Super HD 50 - 20 L;plast;
1118113-001-01-999;6.99;8;9;RAVENOL Oldtimer Classic SAE 30 API SB - 1 L (VE 6 Stück);1 L;
1118113-005-01-999;6.5;8;9;RAVENOL Oldtimer Classic SAE 30 API SB - 5 L (VE 4 Stück);5 L;
1119116-001-01-999;6.99;8;9;RAVENOL Oldtimer 70-er SAE 20W-50 API SE - 1 L (VE 6 Stück);1 L;
1119116-005-01-999;6.5;8;9;RAVENOL Oldtimer 70-er SAE 20W-50 API SE - 5 L (VE 4 Stück);5 L;
