Č. tovaru;Cena za L/KG bez DPH;supplierId;eidtype
SH-550045739;1.64;14;8
SH-550045738;1.87;14;8
SH-100010032;3.28;14;8
SH-550045524;1.53;14;8
SH-550045525;1.68;14;8
SH-550045527;1.97;14;8
SH-550045522;2.11;14;8
SH-550027137;2.77;14;8
SH-550026411;2.05;14;8
SH-550027112;2.29;14;8
SH-550027132;2.93;14;8
SH-550026412;1.82;14;8
SH-550027134;2.15;14;8
SH-550027133;2.93;14;8
SH-550026414;1.95;14;8
SH-550027138;2.33;14;8
SH-550027120;4.15;14;8
SH-550027123;4.25;14;8
SH-550027111;6.52;14;8
SH-550027118;5.75;14;8
SH-550027117;5.82;14;8
SH-550026354;6.33;14;8
SH-550027222;2.97;14;8
SH-550027221;2.58;14;8
SH-550027220;2.84;14;8
SH-550027219;2.11;14;8
SH-550027210;2.18;14;8
SH-550027208;2.61;14;8
SH-550027218;3.78;14;8
SH-550027227;2.75;14;8
SH-550027209;2.11;14;8
SH-550027211;2.37;14;8
SH-550014652;13.63;14;8
SH-550033045;5.44;14;8
SH-550013827;3.57;14;8
SH-550013828;2.25;14;8
SH-550042862;4.25;14;8
SH-550042880;4.12;14;8
SH-550013826;3.73;14;8
SH-550013830;4.07;14;8
SH-550013831;4.17;14;8
SH-550026397;5.08;14;8
SH-550027223;3.1;14;8
SH-550015901;6.16;14;8
SH-550027984;4.45;14;8
SH-550055993;3.43;14;8
SH-550060232;6.73;14;8
SH-550054730;4.9;14;8
SH-550041202;12.6;14;8
SH-550036842;7.43;14;8
SH-550044224;5.18;14;8
SH-550049074;5.43;14;8
SH-550058279;11.2;14;8
SH-550013617;3.6;14;8
SH-100006006;3.56;14;8
SH-550045741;2.64;14;8
SH-100010028;1.3;14;8
SH-550044218;2.5;14;8
SH-100005775;2.93;14;8
SH-550027124;4.98;14;8
SH-550016922;14.65;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
;;14;8
