kod;cena za l kartonovy;supplierId;typeid
1111105-001-01-999;7.45;8;9
1111112-001-01-999;6.71;8;9
1111112-A05-01-999;5.58;8;9
1111153-001-01-999;5.99;8;9
1111153-004-01-999;5.50;8;9
1111153-020-01-999;4.99;8;9
1111153-060-01-999;4.69;8;9
1111109-001-01-999;6.99;8;9
1111109-004-01-999;6.50;8;9
1111109-060-01-999;5.59;8;9
1111109-B20-01-888;5.89;8;9
1111113-001-01-999;4.99;8;9
1111113-004-01-999;4.69;8;9
1111113-060-01-999;3.99;8;9
1111113-B20-01-888;4.29;8;9
1111107-001-01-999;7.13;8;9
1111107-B20-01-888;6.69;8;9
1111146-001-01-999;7.19;8;9
1111145-001-01-999;6.89;8;9
1111106-001-01-999;7.49;8;9
1111100-001-01-999;7.49;8;9
1111101-001-01-999;6.69;8;9
1111137-001-01-999;7.29;8;9
1111137-004-01-999;6.99;8;9
1111137-060-01-999;6.49;8;9
1111137-B20-01-888;6.49;8;9
1111138-001-01-999;5.50;8;9
1111138-004-01-999;5.20;8;9
1111138-020-01-999;4.99;8;9
1111108-001-01-999;6.99;8;9
1111108-004-01-999;6.79;8;9
1111108-B20-01-888;6.29;8;9
1111127-001-01-909;4.99;8;9
1111127-004-01-999;4.89;8;9
1111127-B20-01-888;4.49;8;9
1111104-001-01-999;7.89;8;9
1111110-001-01-999;6.84;8;9
1111110-005-01-A01;5.18;8;9
1111111-001-01-999;4.99;8;9
1111111-004-01-999;4.89;8;9
1111111-B20-01-888;4.49;8;9
1111311-001-01-999;4.99;8;9
1111311-004-01-999;4.89;8;9
1111311-B20-01-888;4.49;8;9
1111122-001-01-999;6.99;8;9
1111122-005-01-A01;5.58;8;9
1111126-001-01-999;5.65;8;9
1111126-004-01-999;5.25;8;9
1111126-005-01-999;5.25;8;9
1111126-060-01-999;4.69;8;9
1111126-B20-01-888;4.69;8;9
1111139-001-01-999;5.69;8;9
1111139-005-01-A01;4.58;8;9
1111139-020-01-999;5.49;8;9
1111139-B20-01-888;5.39;8;9
1111123-001-01-999;5.89;8;9
1111123-004-01-999;5.52;8;9
1111143-001-01-999;5.99;8;9
1111143-020-01-999;5.35;8;9
1111143-B20-01-888;5.29;8;9
1111144-001-01-999;5.99;8;9
1111124-001-01-999;6.39;8;9
1111115-001-01-999;4.49;8;9
1111115-004-01-999;4.19;8;9
1111121-001-01-999;6.19;8;9
1111121-005-01-999;5.89;8;9
1111119-001-01-999;5.59;8;9
1111125-001-01-999;4.99;8;9
1111125-004-01-999;4.79;8;9
1111125-060-01-999;4.49;8;9
1111125-B20-01-888;4.49;8;9
1111114-001-01-999;5.99;8;9
1141088-001-01-999;8.69;8;9
1141089-001-01-999;8.99;8;9
1141089-004-01-999;8.69;8;9
1141089-060-01-999;7.99;8;9
1141089-B20-01-888;7.99;8;9
1111118-001-01-999;5.50;8;9
1111118-004-01-999;5.30;8;9
1111118-060-01-999;4.99;8;9
1111118-B20-01-888;4.99;8;9
