kod;cena za l kartonovy;supplierId;typeid;popis;balenie;kategoria
1211122-001-01-999;7.9;8;9;RAVENOL SU5 ATF Fluid - 1 L (VE 12 Stück);1 L;Subaru: 4ATF, 5ATF, ATF HP
1211122-004-01-999;7.5;8;9;RAVENOL SU5 ATF Fluid - 4 L (VE 4 Stück);4 L;
1211122-010-01-999;6.99;8;9;RAVENOL SU5 ATF Fluid - 10 L;plast;
1211122-B20-01-888;6.99;8;9;RAVENOL SU5 ATF Fluid - 20 L Bag in Box;bag;
1211130-001-01-999;6.69;8;9;RAVENOL ATF FZ - 1 L (VE 12 Stück);1 L;Mazda ATF FZ / SKYACTIV
1211130-010-01-999;6.49;8;9;RAVENOL ATF FZ - 10 L;plast;
1211130-B20-01-888;6.49;8;9;RAVENOL ATF FZ - 20 L Bag in Box;bag;
1211133-001-01-999;5.99;8;9;RAVENOL ATF DSIH 6 - 1 L (VE 12 Stück);1 L;SsangYong 
1211133-B20-01-888;5.59;8;9;RAVENOL ATF DSIH 6 - 20 L Bag in Box;bag;
1211125-001-01-999;7.49;8;9;RAVENOL DW-1 Fluid - 1 L (VE 12 Stück);1 L;Honda
1211125-010-01-999;6.99;8;9;RAVENOL DW-1 Fluid - 10 L;plast;
1211125-B20-01-888;6.99;8;9;RAVENOL DW-1 Fluid - 20 L Bag in Box;bag;
1211117-001-01-999;6.99;8;9;RAVENOL ATF RED-1 - 1 L (VE 12 Stück);1 L;A5SR1 a A5SR2 Hyundai / KIA
1211117-010-01-999;6.5;8;9;RAVENOL ATF RED-1 - 10 L;plast;
1211117-B20-01-888;6.5;8;9;RAVENOL ATF RED-1 - 20 L Bag in Box;bag;
1211116-001-01-999;4.9;8;9;RAVENOL ATF BTR 95LE - 1 L (VE 12 Stück);1 L;SsangYong / Maserati / Mitsubishi
1211116-010-01-999;5.6;8;9;RAVENOL ATF BTR 95LE - 10 L;plast;
1211116-B20-01-888;5.6;8;9;RAVENOL ATF BTR 95LE - 20 L Bag in Box;bag;
1211115-001-01-999;6.99;8;9;RAVENOL ATF J2/S Fluid - 1 L (VE 12 Stück);1 L;JATCO: Renault, Nissan,Mitsubishi
1211115-010-01-999;6.7;8;9;RAVENOL ATF J2/S Fluid - 10 L;plast;
1211115-B20-01-888;6.7;8;9;RAVENOL ATF J2/S Fluid - 20 L Bag in Box;bag;
1211110-001-01-999;7.49;8;9;RAVENOL CVT Fluid - 1 L (VE 12 Stück);1 L;VW/AUDI G052180 A1/A2
1211110-004-01-999;7.29;8;9;RAVENOL CVT Fluid - 4 L (VE 4 Stück);4 L;
1211110-010-01-999;6.99;8;9;RAVENOL CVT Fluid - 10 L;plast;
1211110-B20-01-888;6.99;8;9;RAVENOL CVT Fluid - 20 L Bag in Box;bag;
1211114-001-01-999;7.49;8;9;RAVENOL CVTF NS2/J1 Fluid - 1 L (VE 12 Stück);1 L;NISSAN, MITSUBISHI, PSA, SUZUKI 
